Business Name,Business Address,Google Profile,Day of Week,Special Description,Special Time
Crooked Pint Ale House,"61 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Wednesday,$2 off select apps,3PM – 6PM
Crooked Pint Ale House,"58 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Wednesday,Burger & Fries $11 ,11AM – 2PM
Crooked Pint Ale House,"58 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Wednesday,$2 off any Lucy or specialty burger,All day
Crooked Pint Ale House,"60 Division St, Waite Park, MN 56387",https://maps.google.com/?cid=2758443587475522305,Wednesday,$1 Off All Taps,11AM – 6PM
G-Allen’s Restaurant & Sports Bar,"116 Evergreen Dr, Sartell, MN 56377",https://www.google.com/maps?cid=863212231200669648,Wednesday,Happy Hour: Select appetizers at half price and $1 off all drinks,4PM – 6:30PM
Granite City Food & Brewery,"3945 2nd St S, St Cloud, MN 56301",https://www.google.com/maps?cid=3291221017508555052,Wednesday,"$11.99 Pasta Entrees, 1/2 off bottles of wine",All day
Jimmy’s Pour House,"22 2nd Ave N, Sauk Rapids, MN 56379",https://www.google.com/maps?cid=9931203142589866897,Wednesday,$12 Lunch Specials Soup & Sandwich,11AM – 3PM
La Casita,"4130 W Division St, Waite Park, MN 56387",https://www.google.com/maps?cid=13363612168362794215,Wednesday,"$1.00 off all large House Margaritas, Complimentary Appetizer Bar ",3PM – 6PM
Lost Times Tavern,"2 N Benton Dr, Sauk Rapids, MN 56379",https://www.google.com/maps?cid=12323015935555331724,Wednesday,$1 each (bone-in or boneless wings); Open Mic Night,Evening
Mexican Village,"509 W St Germain St, St Cloud, MN 56301",https://www.google.com/maps?cid=6413827772583892721,Wednesday,1/2 price pitchers of our famous classic margaritas,All day
Neighbors Bar & Grille,"2012 Co Rd 75, St Joseph, MN 56374",https://www.google.com/maps?cid=11583902400332753822,Wednesday,1lb of bone in wings for $11.99,All day
Rollies,"940 35th Ave NE, Sauk Rapids, MN 56379",https://www.google.com/maps?cid=165379763152606341,Wednesday,Pizza & Wings Buffet $13.50,11AM – 1:30PM
Sal's Bar,"109 W Minnesota St, St Joseph, MN 56374",https://www.google.com/maps?cid=6627178158394302611,Wednesday,Wings 85¢ each,Lunchtime
Park Diner,"1531 Division St, Waite Park, MN 56387",https://www.google.com/maps?cid=12544076905762526534,Tuesday,Blue Plate Special - Beef Stroganoff,11AM - Gone
Park Diner,"1531 Division St, Waite Park, MN 56387",https://www.google.com/maps?cid=12544076905762526534,Wednesday,Blue Plate Special - Hot Turkey Dinner with Mashed Potatoes,11AM - Gone
Park Diner,"1531 Division St, Waite Park, MN 56387",https://www.google.com/maps?cid=12544076905762526534,Thursday,Blue Plate Special - Hot Beef Dinner with Mashed Potatoes,11AM - Gone
Park Diner,"1531 Division St, Waite Park, MN 56387",https://www.google.com/maps?cid=12544076905762526534,Friday,Blue Plate Special - Spaghetti with Garlic Toast ,11AM - Gone
